,tokens,topic,aspect,label,type
33,"['when', 'i', 'finally', 'had', 'everything', 'running', 'with', 'all', 'my', 'software', 'installed', 'i', 'plugged', 'in', 'my', 'droid', 'to', 'recharge', 'and', 'the', 'system', 'crashed', '.']",laptop,['software'],1,train
34,"['when', 'i', 'finally', 'had', 'everything', 'running', 'with', 'all', 'my', 'software', 'installed', 'i', 'plugged', 'in', 'my', 'droid', 'to', 'recharge', 'and', 'the', 'system', 'crashed', '.']",laptop,['system'],0,train
35,"['one', 'suggestion', 'i', 'do', 'have', ',', 'is', 'to', 'not', 'bother', 'getting', 'microsoft', 'office', 'for', 'the', 'mac', 'expecting', 'it', 'will', 'work', 'just', 'like', 'you', 'knew', 'it', 'to', 'on', 'a', 'pc', '.']",laptop,"['microsoft', 'office', 'for', 'the', 'mac']",0,train
36,"['pairing', 'it', 'with', 'an', 'iphone', 'is', 'a', 'pure', 'pleasure', '-', 'talk', 'about', 'painless', 'syncing', '-', 'used', 'to', 'take', 'me', 'forever', '-', 'now', 'it', ""'s"", 'a', 'snap', '.']",laptop,['syncing'],2,train
37,"['i', 'also', 'got', 'the', 'added', 'bonus', 'of', 'a', '30', ""''"", 'hd', 'monitor', ',', 'which', 'really', 'helps', 'to', 'extend', 'my', 'screen', 'and', 'keep', 'my', 'eyes', 'fresh', '!']",laptop,"['30', ""''"", 'hd', 'monitor']",2,train
38,"['i', 'also', 'got', 'the', 'added', 'bonus', 'of', 'a', '30', ""''"", 'hd', 'monitor', ',', 'which', 'really', 'helps', 'to', 'extend', 'my', 'screen', 'and', 'keep', 'my', 'eyes', 'fresh', '!']",laptop,['screen'],1,train
39,"['the', 'machine', 'is', 'slow', 'to', 'boot', 'up', 'and', 'occasionally', 'crashes', 'completely', '.']",laptop,"['boot', 'up']",0,train
40,"['after', 'paying', 'several', 'hundred', 'dollars', 'for', 'this', 'service', ',', 'it', 'is', 'frustrating', 'that', 'you', 'can', 'not', 'get', 'help', 'after', 'hours', '.']",laptop,['service'],0,train
41,"['i', 'love', 'the', 'operating', 'system', 'and', 'the', 'preloaded', 'software', '.']",laptop,"['operating', 'system']",2,train
42,"['i', 'love', 'the', 'operating', 'system', 'and', 'the', 'preloaded', 'software', '.']",laptop,"['preloaded', 'software']",2,train
43,"['the', 'best', 'thing', 'about', 'this', 'laptop', 'is', 'the', 'price', 'along', 'with', 'some', 'of', 'the', 'newer', 'features', '.']",laptop,['price'],2,train
44,"['the', 'best', 'thing', 'about', 'this', 'laptop', 'is', 'the', 'price', 'along', 'with', 'some', 'of', 'the', 'newer', 'features', '.']",laptop,['features'],2,train
45,"['after', 'numerous', 'attempts', 'of', 'trying', '(', 'including', 'setting', 'the', 'clock', 'in', 'bios', 'setup', 'directly', ')', ',', 'i', 'gave', 'up', '(', 'i', 'am', 'a', 'techie', ')', '.']",laptop,"['clock', 'in', 'bios', 'setup']",0,train
46,"['you', 'will', 'not', 'be', 'able', 'to', 'talk', 'to', 'an', 'american', 'warranty', 'service', 'is', 'out', 'of', 'country', '.']",laptop,"['warranty', 'service']",0,train
47,"['but', 'now', 'i', 'have', 'realized', 'its', 'a', 'problem', 'with', 'this', 'brand', '.']",laptop,['brand'],0,train
48,"['i', 'sent', 'it', 'back', 'to', 'toshiba', 'twice', 'they', 'covered', 'it', 'under', 'the', 'warranty', '.']",laptop,['warranty'],2,train
49,"['i', 'was', 'looking', 'for', 'a', 'mac', 'which', 'is', 'portable', 'and', 'has', 'all', 'the', 'features', 'that', 'i', 'was', 'looking', 'for', '.']",laptop,['features'],2,train
50,"['also', 'kinda', 'loud', 'when', 'the', 'fan', 'was', 'running', '.']",laptop,['fan'],0,train
51,"['in', 'desparation', ',', 'i', 'called', 'their', 'customer', 'service', 'number', 'and', 'was', 'told', 'that', 'my', 'warranty', 'had', 'expired', '(', '2', 'days', 'old', ')', 'and', 'that', 'the', 'priviledge', 'of', 'talking', 'to', 'a', 'technician', 'would', 'cost', 'me', '(', '``', 'have', 'your', 'credit', 'card', 'ready', ""''"", ')', '.']",laptop,"['customer', 'service', 'number']",1,train
52,"['in', 'desparation', ',', 'i', 'called', 'their', 'customer', 'service', 'number', 'and', 'was', 'told', 'that', 'my', 'warranty', 'had', 'expired', '(', '2', 'days', 'old', ')', 'and', 'that', 'the', 'priviledge', 'of', 'talking', 'to', 'a', 'technician', 'would', 'cost', 'me', '(', '``', 'have', 'your', 'credit', 'card', 'ready', ""''"", ')', '.']",laptop,['warranty'],0,train
53,"['in', 'desparation', ',', 'i', 'called', 'their', 'customer', 'service', 'number', 'and', 'was', 'told', 'that', 'my', 'warranty', 'had', 'expired', '(', '2', 'days', 'old', ')', 'and', 'that', 'the', 'priviledge', 'of', 'talking', 'to', 'a', 'technician', 'would', 'cost', 'me', '(', '``', 'have', 'your', 'credit', 'card', 'ready', ""''"", ')', '.']",laptop,"['talking', 'to', 'a', 'technician']",0,train
54,"['there', 'also', 'seemed', 'to', 'be', 'a', 'problem', 'with', 'the', 'hard', 'disc', 'as', 'certain', 'times', 'windows', 'loads', 'but', 'claims', 'to', 'not', 'be', 'able', 'to', 'find', 'any', 'drivers', 'or', 'files', '.']",laptop,"['hard', 'disc']",0,train
55,"['there', 'also', 'seemed', 'to', 'be', 'a', 'problem', 'with', 'the', 'hard', 'disc', 'as', 'certain', 'times', 'windows', 'loads', 'but', 'claims', 'to', 'not', 'be', 'able', 'to', 'find', 'any', 'drivers', 'or', 'files', '.']",laptop,['windows'],0,train
56,"['there', 'also', 'seemed', 'to', 'be', 'a', 'problem', 'with', 'the', 'hard', 'disc', 'as', 'certain', 'times', 'windows', 'loads', 'but', 'claims', 'to', 'not', 'be', 'able', 'to', 'find', 'any', 'drivers', 'or', 'files', '.']",laptop,['drivers'],1,train
57,"['drivers', 'updated', 'ok', 'but', 'the', 'bios', 'update', 'froze', 'the', 'system', 'up', 'and', 'the', 'computer', 'shut', 'down', '.']",laptop,['drivers'],2,train
58,"['drivers', 'updated', 'ok', 'but', 'the', 'bios', 'update', 'froze', 'the', 'system', 'up', 'and', 'the', 'computer', 'shut', 'down', '.']",laptop,"['bios', 'update']",0,train
59,"['drivers', 'updated', 'ok', 'but', 'the', 'bios', 'update', 'froze', 'the', 'system', 'up', 'and', 'the', 'computer', 'shut', 'down', '.']",laptop,['system'],0,train
60,"['spent', '2', 'hours', 'on', 'phone', 'with', 'hp', 'technical', 'support', '.']",laptop,"['hp', 'technical', 'support']",1,train
61,"['speaking', 'of', 'the', 'browser', ',', 'it', 'too', 'has', 'problems', '.']",laptop,['browser'],0,train
62,"['the', 'keyboard', 'is', 'too', 'slick', '.']",laptop,['keyboard'],0,train
63,"['nightly', 'my', 'computer', 'defrags', 'itself', 'and', 'runs', 'a', 'virus', 'scan', '.']",laptop,"['virus', 'scan']",1,train
64,"['it', ""'s"", 'like', '9', 'punds', ',', 'but', 'if', 'you', 'can', 'look', 'past', 'it', ',', 'it', ""'s"", 'great', '!']",laptop,"['9', 'punds']",0,train
65,"['it', ""'s"", 'just', 'as', 'fast', 'with', 'one', 'program', 'open', 'as', 'it', 'is', 'with', 'sixteen', 'open', '.']",laptop,['program'],1,train
66,"['still', 'under', 'warrenty', 'so', 'called', 'toshiba', ',', 'no', 'help', 'at', 'all', '.']",laptop,['warrenty'],0,train
67,"['i', 'was', 'happy', 'with', 'my', 'purchase', 'of', 'a', 'toshiba', 'satellite', 'l305d-s5934', 'laptop', 'until', 'it', 'came', 'time', 'to', 'have', 'it', 'repaired', 'under', 'the', 'toshiba', 'warranty', '.']",laptop,"['toshiba', 'warranty']",0,train
68,"['amazing', 'quality', '!']",laptop,['quality'],2,train
69,"['the', 'fact', 'that', 'you', 'can', 'spend', 'over', '$', '100', 'on', 'just', 'a', 'webcam', 'underscores', 'the', 'value', 'of', 'this', 'machine', '.']",laptop,['webcam'],1,train
70,"['the', 'fact', 'that', 'you', 'can', 'spend', 'over', '$', '100', 'on', 'just', 'a', 'webcam', 'underscores', 'the', 'value', 'of', 'this', 'machine', '.']",laptop,['value'],2,train
71,"['i', 'mainly', 'use', 'it', 'for', 'email', ',', 'internet', ',', 'and', 'managing', 'personal', 'files', '(', 'pics', ',', 'vids', ',', 'etc', '.', ')', '.']",laptop,['internet'],1,train
72,"['i', 'mainly', 'use', 'it', 'for', 'email', ',', 'internet', ',', 'and', 'managing', 'personal', 'files', '(', 'pics', ',', 'vids', ',', 'etc', '.', ')', '.']",laptop,"['managing', 'personal', 'files']",1,train
73,"['a', 'month', 'or', 'so', 'ago', ',', 'the', 'freaking', 'motherboard', 'just', 'died', '.']",laptop,['motherboard'],0,train
74,"['the', 'system', 'it', 'comes', 'with', 'does', 'not', 'work', 'properly', ',', 'so', 'when', 'trying', 'to', 'fix', 'the', 'problems', 'with', 'it', 'it', 'started', 'not', 'working', 'at', 'all', '.']",laptop,['system'],0,train
75,"['then', 'after', '4', 'or', 'so', 'months', 'the', 'charger', 'stopped', 'working', 'so', 'i', 'was', 'forced', 'to', 'go', 'out', 'and', 'buy', 'new', 'hardware', 'just', 'to', 'keep', 'this', 'computer', 'running', '.']",laptop,['charger'],0,train
76,"['then', 'after', '4', 'or', 'so', 'months', 'the', 'charger', 'stopped', 'working', 'so', 'i', 'was', 'forced', 'to', 'go', 'out', 'and', 'buy', 'new', 'hardware', 'just', 'to', 'keep', 'this', 'computer', 'running', '.']",laptop,['hardware'],0,train
77,"['if', 'a', 'website', 'ever', 'freezes', '(', 'which', 'is', 'rare', ')', ',', 'its', 'really', 'easy', 'to', 'force', 'quit', '.']",laptop,"['force', 'quit']",2,train
78,"['it', 'rarely', 'works', 'and', 'when', 'it', 'does', 'it', ""'s"", 'incredibly', 'slow', '.']",laptop,['works'],0,train
79,"['i', 'also', 'enjoy', 'the', 'fact', 'that', 'my', 'macbook', 'pro', 'laptop', 'allows', 'me', 'to', 'run', 'windows', '7', 'on', 'it', 'by', 'using', 'the', 'vmware', 'program', '.']",laptop,"['windows', '7']",2,train
80,"['i', 'also', 'enjoy', 'the', 'fact', 'that', 'my', 'macbook', 'pro', 'laptop', 'allows', 'me', 'to', 'run', 'windows', '7', 'on', 'it', 'by', 'using', 'the', 'vmware', 'program', '.']",laptop,"['vmware', 'program']",1,train
81,"['it', ""'s"", 'so', 'much', 'easier', 'to', 'navigate', 'through', 'the', 'operating', 'system', ',', 'to', 'find', 'files', ',', 'and', 'it', 'runs', 'a', 'lot', 'faster', '!']",laptop,"['operating', 'system']",2,train
82,"['it', ""'s"", 'so', 'much', 'easier', 'to', 'navigate', 'through', 'the', 'operating', 'system', ',', 'to', 'find', 'files', ',', 'and', 'it', 'runs', 'a', 'lot', 'faster', '!']",laptop,['runs'],2,train
83,"['it', ""'s"", 'so', 'much', 'easier', 'to', 'navigate', 'through', 'the', 'operating', 'system', ',', 'to', 'find', 'files', ',', 'and', 'it', 'runs', 'a', 'lot', 'faster', '!']",laptop,['navigate'],2,train
84,"['it', ""'s"", 'so', 'much', 'easier', 'to', 'navigate', 'through', 'the', 'operating', 'system', ',', 'to', 'find', 'files', ',', 'and', 'it', 'runs', 'a', 'lot', 'faster', '!']",laptop,"['find', 'files']",2,train
85,"['purchased', 'a', 'toshiba', 'lap', 'top', 'it', 'worked', 'good', 'until', 'just', 'after', 'the', 'warrenty', 'went', 'out', '.']",laptop,['warrenty'],0,train
86,"['i', 'wanted', 'to', 'purchase', 'the', 'extended', 'warranty', 'and', 'they', 'refused', ',', 'because', 'they', 'knew', 'it', 'was', 'trouble', '.']",laptop,"['extended', 'warranty']",1,train
87,"['we', 'upgraded', 'the', 'memory', 'to', 'four', 'gigabytes', 'in', 'order', 'to', 'take', 'advantage', 'of', 'the', 'performace', 'increase', 'in', 'speed', '.']",laptop,['memory'],1,train
88,"['we', 'upgraded', 'the', 'memory', 'to', 'four', 'gigabytes', 'in', 'order', 'to', 'take', 'advantage', 'of', 'the', 'performace', 'increase', 'in', 'speed', '.']",laptop,['speed'],2,train
89,"['we', 'upgraded', 'the', 'memory', 'to', 'four', 'gigabytes', 'in', 'order', 'to', 'take', 'advantage', 'of', 'the', 'performace', 'increase', 'in', 'speed', '.']",laptop,['performace'],2,train
90,"['the', 'reality', 'was', ',', 'it', 'heated', 'up', 'very', 'quickly', ',', 'and', 'took', 'way', 'too', 'long', 'to', 'do', 'simple', 'things', ',', 'like', 'opening', 'my', 'documents', 'folder', '.']",laptop,"['opening', 'my', 'documents', 'folder']",0,train
91,"['i', 'had', 'always', 'used', 'pcs', 'and', 'been', 'constantly', 'frustrated', 'by', 'the', 'crashing', 'and', 'the', 'poorly', 'designed', 'operating', 'systems', 'that', 'were', 'never', 'very', 'intuitive', '.']",laptop,"['operating', 'systems']",0,train
92,"['then', ',', 'within', '5', 'months', ',', 'the', 'charger', 'crapped', 'out', 'on', 'me', '.']",laptop,['charger'],0,train
93,"['and', 'if', 'you', 'have', 'a', 'iphone', 'or', 'ipod', 'touch', 'you', 'can', 'connect', 'and', 'download', 'songs', 'to', 'it', 'at', 'high', 'speed', '.']",laptop,['speed'],2,train
94,"['i', 'love', 'the', 'glass', 'touchpad', '.']",laptop,"['glass', 'touchpad']",2,train
95,"['i', 'continued', 'to', 'take', 'the', 'computer', 'in', 'again', 'and', 'they', 'replaced', 'the', 'hard', 'drive', 'and', 'mother', 'board', 'yet', 'again', '.']",laptop,"['hard', 'drive']",0,train
96,"['i', 'continued', 'to', 'take', 'the', 'computer', 'in', 'again', 'and', 'they', 'replaced', 'the', 'hard', 'drive', 'and', 'mother', 'board', 'yet', 'again', '.']",laptop,"['mother', 'board']",0,train
97,"['i', 'am', 'using', 'the', 'external', 'speaker-', 'sound', 'is', 'good', '.']",laptop,"['external', 'speaker']",2,train
98,"['i', 'am', 'using', 'the', 'external', 'speaker-', 'sound', 'is', 'good', '.']",laptop,['sound'],2,train
99,"['still', 'testing', 'the', 'battery', 'life', 'as', 'i', 'thought', 'it', 'would', 'be', 'better', ',', 'but', 'am', 'very', 'happy', 'with', 'the', 'upgrade', '.']",laptop,"['battery', 'life']",0,train
100,"['then', 'hp', 'sends', 'it', 'back', 'to', 'me', 'with', 'the', 'hardware', 'screwed', 'up', ',', 'not', 'able', 'to', 'connect', '.']",laptop,['hardware'],0,train
101,"['oh', 'yeah', ',', 'do', ""n't"", 'forget', 'the', 'expensive', 'shipping', 'to', 'and', 'from', 'hp', '.']",laptop,['shipping'],0,train
102,"['everything', 'is', 'so', 'easy', 'to', 'use', ',', 'mac', 'software', 'is', 'just', 'so', 'much', 'simpler', 'than', 'microsoft', 'software', '.']",laptop,"['mac', 'software']",2,train
103,"['everything', 'is', 'so', 'easy', 'to', 'use', ',', 'mac', 'software', 'is', 'just', 'so', 'much', 'simpler', 'than', 'microsoft', 'software', '.']",laptop,"['microsoft', 'software']",0,train
104,"['everything', 'is', 'so', 'easy', 'to', 'use', ',', 'mac', 'software', 'is', 'just', 'so', 'much', 'simpler', 'than', 'microsoft', 'software', '.']",laptop,['use'],2,train
105,"['and', 'if', 'you', 'do', 'a', 'lot', 'of', 'writing', ',', 'editing', 'is', 'a', 'problem', 'since', 'there', 'is', 'no', 'forward', 'delete', 'key', '.']",laptop,"['delete', 'key']",0,train
106,"['and', 'if', 'you', 'do', 'a', 'lot', 'of', 'writing', ',', 'editing', 'is', 'a', 'problem', 'since', 'there', 'is', 'no', 'forward', 'delete', 'key', '.']",laptop,['editing'],0,train
107,"['its', 'ease', 'of', 'use', 'and', 'the', 'top', 'service', 'from', 'apple-', 'be', 'it', 'their', 'phone', 'assistance', 'or', 'bellying', 'up', 'to', 'the', 'genius', 'bar-', 'can', 'not', 'be', 'beat', '.']",laptop,['use'],2,train
108,"['its', 'ease', 'of', 'use', 'and', 'the', 'top', 'service', 'from', 'apple-', 'be', 'it', 'their', 'phone', 'assistance', 'or', 'bellying', 'up', 'to', 'the', 'genius', 'bar-', 'can', 'not', 'be', 'beat', '.']",laptop,['service'],2,train
109,"['its', 'ease', 'of', 'use', 'and', 'the', 'top', 'service', 'from', 'apple-', 'be', 'it', 'their', 'phone', 'assistance', 'or', 'bellying', 'up', 'to', 'the', 'genius', 'bar-', 'can', 'not', 'be', 'beat', '.']",laptop,"['phone', 'assistance']",2,train
110,"['its', 'ease', 'of', 'use', 'and', 'the', 'top', 'service', 'from', 'apple-', 'be', 'it', 'their', 'phone', 'assistance', 'or', 'bellying', 'up', 'to', 'the', 'genius', 'bar-', 'can', 'not', 'be', 'beat', '.']",laptop,"['genius', 'bar']",2,train
111,"['it', 'has', 'a', '10', 'hour', 'battery', 'life', 'when', 'you', ""'re"", 'doing', 'web', 'browsing', 'and', 'word', 'editing', ',', 'making', 'it', 'perfect', 'for', 'the', 'classroom', 'or', 'office', ',', 'and', 'in', 'terms', 'of', 'gaming', 'and', 'movie', 'playing', 'it', ""'ll"", 'have', 'a', 'battery', 'life', 'of', 'just', 'over', '5', 'hours', '.']",laptop,"['battery', 'life']",2,train
112,"['it', 'has', 'a', '10', 'hour', 'battery', 'life', 'when', 'you', ""'re"", 'doing', 'web', 'browsing', 'and', 'word', 'editing', ',', 'making', 'it', 'perfect', 'for', 'the', 'classroom', 'or', 'office', ',', 'and', 'in', 'terms', 'of', 'gaming', 'and', 'movie', 'playing', 'it', ""'ll"", 'have', 'a', 'battery', 'life', 'of', 'just', 'over', '5', 'hours', '.']",laptop,['gaming'],1,train
113,"['it', 'has', 'a', '10', 'hour', 'battery', 'life', 'when', 'you', ""'re"", 'doing', 'web', 'browsing', 'and', 'word', 'editing', ',', 'making', 'it', 'perfect', 'for', 'the', 'classroom', 'or', 'office', ',', 'and', 'in', 'terms', 'of', 'gaming', 'and', 'movie', 'playing', 'it', ""'ll"", 'have', 'a', 'battery', 'life', 'of', 'just', 'over', '5', 'hours', '.']",laptop,"['movie', 'playing']",1,train
